Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_391.jpg;0;0;0;0;99.66999;85.58897;0.0002381084;55.98145;2.863795E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_458.jpg;0;0;0;0;99.66999;85.58897;0.0002381552;55.98145;2.710714E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_525.jpg;0;0;0;0;99.66999;85.58897;0.0002380532;55.98145;2.679494E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_591.jpg;0;0;0;0;99.66999;85.58897;0.0002379667;55.98145;2.597251E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_658.jpg;0;0;0;0;99.66999;85.58897;0.0002380136;55.98145;2.444171E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_725.jpg;0;0;0;0;99.66999;85.58897;0.0002377543;55.98145;2.197429E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_791.jpg;0;0;0;0;99.66999;85.58897;0.0002374085;55.98145;1.868444E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_858.jpg;0;0;0;0;99.66999;85.58897;0.0002371491;55.98145;1.621709E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_925.jpg;0;0;0;0;99.66999;85.58897;0.0002368898;55.98145;1.374973E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_17_991.jpg;0;0;0;0;99.66999;85.58897;0.000236544;55.98145;1.045995E-06
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_057.jpg;0;0;0;0;99.66999;85.58897;0.0002362847;55.98145;7.992534E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_124.jpg;0;0;0;0;99.66999;85.58897;0.0002363315;55.98145;6.461666E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_191.jpg;0;0;0;0;99.66999;85.58897;0.0002363939;55.98145;4.420574E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_257.jpg;0;0;0;0;99.66999;85.58897;0.0002364408;55.98145;2.889772E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_324.jpg;0;0;0;0;99.66999;85.58897;0.0002364876;55.98145;1.358969E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_390.jpg;0;0;0;0;99.66999;85.58897;0.00023655;55.98145;-6.821227E-08
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_457.jpg;0;0;0;0;99.66999;85.58897;0.000236448;55.98145;-9.942628E-08
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_524.jpg;0;0;0;0;99.66999;85.58897;0.0002364948;55.98145;-2.525E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_591.jpg;0;0;0;0;99.66999;85.58897;0.0002364084;55.98145;-3.347495E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_658.jpg;0;0;0;0;99.66999;85.58897;0.000236424;55.98145;-3.857784E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_724.jpg;0;0;0;0;99.66999;85.58897;0.000236424;55.98145;-3.857784E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_791.jpg;0;0;0;0;99.66999;85.58897;0.000236424;55.98145;-3.857784E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_857.jpg;0;0;0;0;99.66999;85.58897;0.000236424;55.98145;-3.857784E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_924.jpg;0;0;0;0;99.66999;85.58897;0.000236424;55.98145;-3.857784E-07
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_18_990.jpg;0;0.1998553;0;0;99.6706;85.58987;0.02441504;56.03236;3.229874E-05
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_057.jpg;0;0.3993016;0;0.01951374;99.67175;85.59157;0.06690875;55.9946;9.631307E-05
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_124.jpg;0;0.5996333;0;0.03358707;99.67387;85.5947;0.1430621;55.93316;0.0002821031
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_191.jpg;0;0.8018423;0;0.08292697;99.67948;85.60301;0.3378346;56.02518;-0.0001295824
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_257.jpg;0;1;0;0.1277542;99.68625;85.61298;0.5493856;55.92147;-0.0001052991
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_325.jpg;0;1;0;0.1904108;99.69466;85.62531;0.7758354;55.86153;-0.0007594213
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_391.jpg;0;1;0;0.2163557;99.70829;85.64528;1.090908;55.89862;-0.00234414
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_458.jpg;0;1;0;0.2909158;99.72073;85.66362;1.317169;55.98629;-0.001826357
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_524.jpg;0;1;0;0.3477695;99.73244;85.67995;1.267103;56.0393;-0.003401919
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_591.jpg;0;1;0;0.4165412;99.74993;85.70538;1.101064;55.88542;0.0007208248
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_658.jpg;0;1;0;0.4628231;99.76604;85.729;1.071796;55.95045;-0.001975738
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_725.jpg;0;1;0;0.5239056;99.78426;85.75573;1.097227;55.88874;0.0001746554
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_791.jpg;-1.506541;1;0;0.5719815;99.81144;85.7953;1.184579;55.89909;0.0001711381
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_858.jpg;-4.498432;1;0;0.6127877;99.83406;85.82666;1.235363;55.64738;0.0007112253
C:\Users\kalli\Projects\Udacity-Robotics\Original-Files\RoboND-Rover-Project-WIB\RoboND-Rover-Project-master\IMG\robocam_2017_05_31_09_56_19_924.jpg;-7.470732;1;0;0.6903467;99.85856;85.85907;1.228223;55.30855;0.001505949
